Trial#,Year,State,Site,Site_Prod,Plot_ID,Block,N_Trt,Plant_N,Side_N,Plant_N_SI,Side_N_SI,Plot_ha,Plnt_Pop,VTPwet,Vtsubwet,Vtsubdry,VT_TissN,VTPM,VTPdry,VTNC,VTBdryY,VTN,PMPwet,PMsubwet,PMsubdry,PMGdry,PMCdry,PM_TissN,PM_GrainN,PMPM,PMPdry,VN,GN,CN,PMN,CHI,HI,GRwt,GRM,Yield_SY,Yield_Bu,GYdry,CYdry,VYdry,TotdryM,V5Pdry,V5_TissN,V5NC,V5BdryY,V5N,V9Pwet,V9subwet,V9subdry,V9_TissN,V9PM,V9Pdry,V9NC,V9BdryY,V9N,R4Pwet,R4subwet,R4subdry,R4_TissN,R4PM,R4Pdry,R4NC,R4BdryY,R4N,Comments
1,2014,IA,Ames,Low,111,1,12,40,160,45,180,0.00418,35622,630,.,.,1.71,0.0,630.0,10.8,9234.9,157.9,1280,434.2,242.61,957.88,122.92,0.84,1.15,44.1,715.2,78.4,143.8,10.7,232.9,0.886,0.533,63.9232,19.7,14801.5,236,12507.2,1605,9338.5,23450.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,112,1,11,40,120,45,135,0.00418,38139,665,.,.,1.96,0.0,665.0,13.0,10436.7,204.6,1200,477.6,263.04,833.71,99.49,0.91,1.18,44.9,660.9,90,147.2,11.4,248.5,0.893,0.523,63.9686,19.8,14758.5,235.3,12471,1488.2,9886.1,23845.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,113,1,15,80,80,90,90,0.00418,35042,685,.,.,1.83,0.0,685.0,12.5,9877.4,180.8,1480,488.5,236.48,915.61,115.69,0.99,1.14,51.6,716.5,97.8,143.9,11.6,253.2,0.888,0.524,64.5588,19.7,14934,238.1,12619.2,1594.5,9874.5,24088.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,114,1,6,200,0,225,0,0.00418,33106,750,.,.,1.81,0.0,750.0,13.6,10217.2,184.9,2280,699.3,298.56,1084.97,137.33,1.03,1.2,57.3,973.4,113.7,147.6,12.5,273.8,0.888,0.494,63.1514,20.3,14554.7,232.1,12298.8,1556.7,11034.3,24889.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,115,1,7,240,0,270,0,0.00418,34848,695,.,.,2.07,0.0,695.0,14.4,9966.3,206.3,1780,591.5,285.53,982.63,126.37,1.02,1.2,51.7,859.2,112.3,151.1,12.6,276,0.886,0.499,64.5588,20,14898.1,237.6,12588.9,1619,11008.2,25216.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,116,1,8,280,0,315,0,0.00418,37365,690,.,.,2.25,0.0,690.0,15.5,10609.2,238.7,1760,530.9,234.25,964.07,119.93,1,1.2,55.9,776.6,100.9,150.4,12.1,263.3,0.889,0.518,64.5134,20.3,14827.8,236.5,12529.5,1558.7,10092.6,24180.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,201,2,5,160,0,180,0,0.00418,36010,765,.,.,1.53,0.0,765.0,11.7,11335.7,173.4,1720,638.2,297.06,980.14,114.96,0.92,1.17,53.5,800.6,91.6,142.5,11.2,245.3,0.895,0.517,62.2888,19.8,14418.6,229.9,12183.7,1429,9951.9,23564.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,202,2,16,80,160,90,180,0.00418,38139,745,.,.,1.9,0.0,745.0,14.2,11692.2,222.2,1920,483.5,227.49,1059.92,122.28,1.05,1.28,52.9,903.4,117.9,168.6,13.7,300.2,0.897,0.508,67.3282,19.8,15585.3,248.5,13169.6,1519.3,11224.5,25913.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,203,2,7,240,0,270,0,0.00418,35042,605,.,.,2.04,0.0,605.0,12.3,8723.9,178.0,1860,588.1,272.61,937.55,125.95,0.81,1.21,53.6,862.2,96.3,156.4,12.1,264.8,0.882,0.487,66.284,19.9,15294.8,243.9,12924.1,1736.2,11885.3,26545.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,204,2,11,40,120,45,135,0.00418,35042,640,.,.,1.93,0.0,640.0,12.4,9228.6,178.1,1160,413.6,217.89,786.42,105.88,1.03,1.14,47.3,611.1,93.7,133.5,10.9,238.1,0.881,0.523,60.7452,20.7,13858.6,221,11710.5,1576.6,9099.9,22387,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,205,2,1,0,0,0,0,0.00418,33299,605,.,.,0.81,0.0,605.0,4.9,8290.1,67.1,1240,523.3,252.01,520.69,74.17,0.52,0.96,51.8,597.2,38.7,62.3,4.8,105.8,0.875,0.437,33.05574,19.5,7680,122.5,6489.6,924.4,7442.6,14856.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,206,2,12,40,160,45,180,0.00418,35235,805,.,.,1.73,0.0,805.0,13.9,11671.9,201.9,1820,559.7,260.42,1057.06,113.64,0.92,1.26,53.5,846.8,91.9,157.1,12,261,0.903,0.524,64.014,20.2,14759.6,235.4,12471.8,1340.8,9991.3,23803.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,207,2,9,40,40,45,45,0.00418,35429,695,.,.,1.6,0.0,695.0,11.1,10132.4,162.1,1400,462.8,258.8,872.02,102.88,0.77,1.13,44.1,782.9,82.9,135.4,10.5,228.8,0.894,0.496,61.4716,19.9,14185.1,226.2,11986.4,1414.1,10761.2,24161.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,208,2,3,80,0,90,0,0.00418,35429,805,.,.,1.66,0.0,805.0,13.4,11736.1,194.8,1366.5,585.3,276.45,819.32,101.38,0.84,1.03,52.8,645.4,73.5,114.3,9,196.8,0.89,0.523,56.8408,19.8,13136.3,209.5,11100.1,1373.5,8744.2,21217.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,209,2,4,120,0,135,0,0.00418,35429,680,.,.,1.81,0.0,680.0,12.3,9913.7,179.4,1520,518.8,248.17,839.11,96.79,0.73,1.1,52.2,727.1,70.6,122.9,9.3,202.8,0.897,0.505,57.3856,20.1,13216.8,210.8,11168.2,1288.2,9677.4,22133.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,210,2,10,40,80,45,90,0.00418,33493,720,.,.,2.07,0.0,720.0,14.9,9923.2,205.4,1360,487,258.95,969.93,111.77,0.76,1.12,46.8,723.1,67.5,133.4,9.6,210.5,0.897,0.537,61.1084,20.1,14095.9,224.8,11911,1372.6,8880.4,22164,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,211,2,15,80,80,90,90,0.00418,33106,720,.,.,2.09,0.0,720.0,15.0,9808.5,205.0,1640,546.3,269.95,1026.18,128.72,0.9,1.22,50.6,810.4,88,151,11.5,250.5,0.889,0.522,63.2422,19.8,14648.1,233.6,12377.6,1552.6,9774.9,23705.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,212,2,8,280,0,315,0,0.00418,35816,690,.,.,2.4,0.0,690.0,16.6,10169.4,244.1,1540,636.7,308.78,870.7,117,0.9,1.29,51.5,746.9,96.1,160.6,12.3,269,0.882,0.502,64.3772,20.5,14734.2,235,12450.4,1673,10679.5,24802.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,213,2,2,40,0,45,0,0.00418,35235,790,.,.,1.28,0.0,790.0,10.1,11454.4,146.6,1320,508.8,270.18,776.44,91.16,0.63,0.92,46.9,700.9,57.2,92.5,7.2,156.9,0.895,0.495,51.3928,19.7,11901.8,189.8,10057,1180.8,9079.1,20316.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,214,2,13,40,200,45,225,0.00418,35235,680,.,.,2.03,0.0,680.0,13.8,9859.5,200.1,1560,511.6,249.01,940.22,114.98,1.09,1.18,51.3,759.3,113.6,152.2,12.8,278.6,0.891,0.518,66.9196,20.8,15269.2,243.5,12902.5,1577.9,10419.7,24900,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,215,2,6,200,0,225,0,0.00418,35235,675,.,.,2.04,0.0,675.0,13.8,9787.0,199.7,1680,408.1,221.47,1019.53,122.37,0.99,1.19,45.7,911.7,110.2,148.1,12.4,270.7,0.893,0.496,64.014,20.3,14730.8,234.9,12447.6,1494,11131.2,25072.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,216,2,14,40,240,45,270,0.00418,36397,630,.,.,1.92,0.0,630.0,12.1,9435.7,181.2,1520,499.8,258.81,956.32,113.08,1.31,1.22,48.2,787.1,135.3,153.1,13.8,302.3,0.894,0.515,64.8766,20.6,14852.5,236.8,12550.3,1484,10329.5,24363.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,301,3,1,0,0,0,0,0.00418,32912,515,.,.,1.13,0.0,515.0,5.8,6974.8,78.8,1220,557.8,276.44,589.58,90.22,0.7,0.9,50.4,604.6,51.2,64.2,5.5,121,0.867,0.459,36.60148,20.1,8445.3,134.7,7136.3,1092,7318.3,15546.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,302,3,9,40,40,45,45,0.00418,36784,650,.,.,1.84,0.0,650.0,12.0,9838.8,181.0,1220,525.4,281.21,826.35,102.45,0.87,1.05,46.5,653,78.1,119.3,9.5,206.8,0.89,0.522,58.112,19.7,13443.3,214.4,11359.6,1408.3,8976.3,21744.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,303,3,12,40,160,45,180,0.00418,36010,710,.,.,1.97,0.0,710.0,14.0,10520.7,207.3,1420,441.8,235.88,997.59,122.41,0.93,1.14,46.6,758.1,87.4,141,11,239.4,0.891,0.531,63.2422,19.8,14640,233.5,12370.8,1518,9401.6,23290.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,304,3,14,40,240,45,270,0.00418,35429,745,.,.,2.07,0.0,745.0,15.4,10861.3,224.8,1480,550,256.66,966.54,112.86,1.07,1.18,53.3,690.6,95.4,147.2,11.6,254.2,0.895,0.546,64.0594,20.1,14762.3,235.4,12474.2,1456.6,8913.5,22844.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,305,3,6,200,0,225,0,0.00418,35042,590,.,.,1.94,0.0,590.0,11.4,8507.6,165.0,1545,526.5,273.1,905.8,119.6,1.11,1.15,48.1,801.4,117.7,137.8,12.3,267.8,0.883,0.496,61.6532,20.2,14183.5,226.2,11985,1582.5,10603.7,24171.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,306,3,13,40,200,45,225,0.00418,34654,655,.,.,2.03,0.0,655.0,13.3,9340.5,189.6,1460,502.1,253.63,977.96,119.94,1,1.19,49.5,737.5,94.1,148.5,11.6,254.3,0.891,0.533,64.6496,20.8,14771,235.5,12481.5,1530.8,9412.6,23424.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,307,3,3,80,0,90,0,0.00418,36590,675,.,.,1.72,0.0,675.0,11.6,10163.4,174.8,1540,491.8,244.26,911.73,114.57,0.84,1.13,50.3,764.9,82.9,132.9,10.4,226.1,0.888,0.509,60.4728,20.2,13918.5,222,11761.1,1477.9,9866.6,23105.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,308,3,16,80,160,90,180,0.00418,36784,615,.,.,2.16,0.0,615.0,13.3,9309.0,201.1,1360,485,255.51,924.15,115.25,1.09,1.21,47.3,716.5,103.3,147.9,12.1,263.3,0.889,0.526,62.9698,20.3,14468.2,230.7,12225.7,1524.7,9478.4,23228.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,309,3,11,40,120,45,135,0.00418,35235,780,.,.,1.93,0.0,780.0,15.1,11309.4,218.3,1320,435.3,228.43,920.62,110.58,0.93,1.18,47.5,692.7,84.1,141.9,10.8,236.8,0.893,0.534,61.517,19.8,14226.6,226.9,12021.4,1444,9045.1,22510.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,310,3,5,160,0,180,0,0.00418,34267,600,.,.,2.03,0.0,600.0,12.2,8460.6,171.7,1580,496,250.19,987.33,125.67,0.85,1.14,49.6,797,80.7,134.1,10.3,225.2,0.887,0.517,60.1096,19.8,13925.9,222.1,11767.4,1497.8,9498.7,22763.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,311,3,7,240,0,270,0,0.00418,33686,745,.,.,2.01,0.0,745.0,15.0,10327.2,207.6,1300,544.7,287.96,797.48,107.72,0.97,1.13,47.1,687.3,102.2,138.2,11.5,251.9,0.881,0.501,63.0606,20.2,14470.7,230.8,12227.8,1651.7,10537.7,24417.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,312,3,4,120,0,135,0,0.00418,35042,905,.,.,1.82,0.0,905.0,16.5,13049.8,237.5,1500,440.4,241.77,971.79,118.81,1.05,1.1,45.1,823.5,104.3,129,11.2,244.5,0.891,0.508,60.0642,20,13877.2,221.3,11726.2,1433.6,9936.5,23096.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,313,3,15,80,80,90,90,0.00418,34848,675,.,.,1.89,0.0,675.0,12.8,9679.5,182.9,1300,466.3,259.42,931.3,110.8,1.01,1.2,44.4,723.2,94.6,144.7,11.5,250.7,0.894,0.528,61.8348,20,14266.7,227.5,12055.4,1434.3,9362.1,22851.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,314,3,10,40,80,45,90,0.00418,32912,690,.,.,1.68,0.0,690.0,11.6,9344.9,157.0,1200,520.2,309.37,986.94,112.36,0.81,1.1,40.5,713.7,71.1,133.5,9.8,214.4,0.898,0.544,62.425,20.3,14363.1,229,12136.8,1381.7,8776.1,22294.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,315,3,8,280,0,315,0,0.00418,34848,655,.,.,1.95,0.0,655.0,12.8,9392.7,183.2,1160,490.3,282.99,839.91,117.09,1.07,1.22,42.3,669.5,96.2,137.7,11.2,245.1,0.878,0.516,58.2028,20.4,13352.4,212.9,11282.8,1572.9,8994,21849.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,316,3,2,40,0,45,0,0.00418,35042,600,.,.,1.42,0.0,600.0,8.5,8651.8,122.9,1120,471.2,277.11,796.96,98.54,0.74,0.98,41.2,658.7,59.9,96,7.5,163.3,0.89,0.513,49.9854,19.7,11587.7,184.8,9791.6,1210.7,8092.5,19094.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,401,4,4,120,0,135,0,0.00418,35622,670,.,.,1.81,0.0,670.0,12.1,9821.3,177.8,1440,550.3,289.42,928.09,112.31,0.95,1.15,47.4,757.3,91.2,135.4,10.9,237.5,0.892,0.516,60.2004,19.8,13929.8,222.1,11770.7,1424.4,9605.1,22800.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,402,4,16,80,160,90,180,0.00418,33493,720,.,.,2.14,0.0,720.0,15.4,9923.2,212.4,1540,460.7,245.26,1023.26,130.04,1.21,1.18,46.8,819.8,117.9,143.4,12.5,273.8,0.887,0.519,62.0164,19.7,14386.5,229.4,12156.6,1544.9,9739.9,23441.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,403,4,9,40,40,45,45,0.00418,34074,760,.,.,1.84,0.0,760.0,14.0,10656.2,196.1,1340,423.4,238.78,907.79,109.21,0.91,1.13,43.6,755.7,85.4,127.4,10.2,223,0.893,0.512,57.5672,19.7,13342.5,212.8,11274.4,1356.3,9385.6,22016.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,404,4,15,80,80,90,90,0.00418,35429,800,.,.,2.07,0.0,800.0,16.6,11663.2,241.4,1380,388.1,214.26,937.32,116.18,1.1,1.17,44.8,761.9,108.5,142,12,262.6,0.89,0.516,62.1072,19.8,14365.3,229.1,12138.7,1504.6,9866.4,23509.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,405,4,7,240,0,270,0,0.00418,33106,760,.,.,1.98,0.0,760.0,15.0,10353.4,205.0,1460,446.2,260.09,933.06,120.94,1.12,1.26,41.7,851,127.1,156.7,13.6,297.5,0.885,0.49,63.6054,19.7,14722.2,234.8,12440.3,1612.5,11346.6,25399.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,406,4,10,40,80,45,90,0.00418,34074,770,.,.,1.85,0.0,770.0,14.2,10796.4,199.7,1340,475.4,251.97,925.68,107.52,0.97,1.2,47,710.2,91.6,147.7,11.5,250.9,0.896,0.531,63.106,19.9,14570.9,232.4,12312.4,1430.1,9446.6,23189.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,407,4,5,160,0,180,0,0.00418,36010,785,.,.,2.04,0.0,785.0,16.0,11632.1,237.3,1640,490.7,231.79,931.5,112.6,1.03,1.18,52.8,774.7,103.9,143.1,11.9,258.8,0.892,0.512,62.425,20.3,14347.4,228.8,12123.6,1465.5,10082.5,23671.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,408,4,12,40,160,45,180,0.00418,34461,635,.,.,2.09,0.0,635.0,13.3,9004.7,188.2,1480,508.4,254.16,980.95,107.05,1.01,1.21,50,739.9,94.7,150.5,11.8,257,0.902,0.537,63.9232,20.2,14717.5,234.7,12436.3,1357.2,9380.1,23173.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,409,4,13,40,200,45,225,0.00418,33686,840,.,.,2.06,0.0,840.0,17.3,11644.0,239.9,1300,469.1,242.72,988.03,125.37,0.86,1.24,48.3,672.6,75,158.9,11.2,245.2,0.887,0.553,65.83,20.1,15168.9,241.9,12817.7,1626.4,8726.2,23170.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,410,4,2,40,0,45,0,0.00418,34848,660,.,.,1.62,0.0,660.0,10.7,9464.4,153.3,1380,468.9,224.65,659.43,88.57,0.61,0.98,52.1,661.2,59.8,95.8,7.5,163,0.882,0.468,50.4394,20.3,11566.3,184.4,9773.5,1312.7,9799.2,20885.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,411,4,8,280,0,315,0,0.00418,35429,670,.,.,2.16,0.0,670.0,14.5,9767.9,211.0,1340,410.6,221.81,843.63,119.47,0.91,1.16,46,723.9,96.1,142.8,11.5,250.5,0.876,0.5,64.014,20.9,14572.3,232.4,12313.6,1743.8,10565.7,24623.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,412,4,1,0,0,0,0,0.00418,34848,430,.,.,1.32,0.0,430.0,5.7,6166.2,81.4,1000,471.8,242.13,560.2,87.7,0.81,0.88,48.7,513.2,61.8,73.2,6.5,141.5,0.865,0.482,43.00288,20.4,9848.3,157,8321.8,1302.8,7623.7,17248.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,413,4,11,40,120,45,135,0.00418,34267,635,.,.,2.19,0.0,635.0,13.9,8954.1,196.1,1540,476.3,238.82,1076.92,134.18,1.06,1.12,49.9,772.2,93.7,138.1,11.1,242.9,0.889,0.543,63.56,20.6,14590.7,232.7,12329.1,1536.2,8840.1,22705.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,414,4,3,80,0,90,0,0.00418,35042,560,.,.,1.86,0.0,560.0,10.4,8075.0,150.2,1620,480.5,239.36,971.68,125.72,0.94,1.03,50.2,807,86.5,114.2,9.6,210.3,0.885,0.51,57.0678,20.5,13117.8,209.2,11084.6,1434.2,9206,21724.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
